fig_num,DS1_mu,DS1_beta,DS2_mu,DS2_beta,DS3_mu,DS3_beta
A1,99.07705616,0.141894369,121.4551581,0.119394915,142.1288752,0.10417921
A5,103.5907068,0.142257721,126.9991771,0.123701036,146.1817759,0.106680314
A9,98.44476865,0.141637922,119.0180054,0.11936721,129.9707276,0.10794112
A13,102.6727282,0.139004379,124.1182914,0.114009859,134.0683327,0.103561061
A49,98.77588617,0.148836948,123.9622419,0.134164892,145.1428301,0.112221943
A53,103.3996614,0.14152985,128.2821519,0.136947624,151.6928847,0.129176482
A57,98.71077282,0.143439339,119.8824099,0.123993994,130.4378434,0.113931946
A61,103.7094534,0.136999291,124.4308197,0.115713854,135.1047571,0.105623974
A81,114.5091426,0.141264001,139.9577329,0.120717882,155.1529919,0.11696495
A85,119.7783385,0.140001575,148.3746328,0.131773709,173.258537,0.12860982
