Height in ft,B,C,D
9,0.0,0.47704036710975345,0.7925775266612125
10,0.0,0.47704036710975345,0.7925775266612125
11,0.0,0.47704036710975345,0.7925775266612125
12,0.0,0.47704036710975345,0.7925775266612125
13,0.0,0.47704036710975345,0.7925775266612125
14,0.0,0.47704036710975345,0.7925775266612125
15,0.0,0.47704036710975345,0.7925775266612125
16,0.0,0.4698903604236604,0.7796897587909896
17,0.0,0.46320549129294375,0.767667972589472
18,0.0,0.4569306757062599,0.756407915924785
19,0.0,0.4510199766520807,0.7458228365700079
20,0.0,0.4454346940221318,0.7358397985962157
21,0.0,0.4401419271355342,0.7263969159281698
22,0.0,0.43511347638521175,0.7174412426698055
23,0.0,0.4303249924788295,0.7089271420243646
24,0.0,0.425755309295791,0.7008150094965973
25,0.0,0.42138591485195487,0.6930702621098925
26,0.0,0.41720052748593395,0.6856625299610472
27,0.0,0.413184753157639,0.6785650035053941
28,0.0,0.4093258059499714,0.6717539020047368
29,0.0,0.405612278308622,0.6652080371868396
30,0.0,0.4020339507828359,0.6589084524145559
31,0.0,0.39858163340364255,0.6528381222516355
32,0.0,0.3952470326014174,0.6469817007205902
33,0.0,0.3920226388915229,0.6413253091065001
34,0.0,0.3889016315639728,0.6358563561002302
35,0.0,0.38587779738459466,0.6305633845585026
36,0.0,0.38294546091127274,0.625435940303482
37,0.0,0.38009942449314366,0.6204644592754969
38,0.0,0.37733491638496874,0.6156401700508985
39,0.0,0.3746475456968653,0.6109550092884828
40,0.0,0.37203326312871443,0.6064015481061369
41,0.0,0.3694883266219906,0.6019729277399463
42,0.0,0.3670092712095837,0.5976628031201072
43,0.0,0.3645928824638386,0.5934652932262874
44,0.0,0.36223617304058303,0.5893749372708486
45,0.0,0.3599363618966999,0.5853866559102957
46,0.0,0.3576908558244654,0.5814957168101659
47,0.0,0.3554972330001342,0.5776977039917071
48,0.0,0.353353228289289,0.5739884904741944
49,0.0,0.3512567200890145,0.570364213797943
50,0.0,0.3492057185183763,0.5668212540726814
51,0.0,0.3471983547950921,0.5633562142459011
52,0.0,0.3452328716585304,0.5599659023279624
53,0.0,0.3433076147180275,0.5566473153463621
54,0.0,0.3414210246214923,0.5533976248317858
55,0.0,0.3395716299529114,0.5502141636643059
56,0.0,0.3377580407790025,0.5470944141300775
57,0.0,0.33597894277525653,0.5440359970576883
58,0.0,0.33423309187017236,0.541036661919495
59,0.0,0.3325193093539023,0.5380942777972081
60,0.0,0.33083647740391336,0.5352068251230305
